Ks : 17.049388170698 	 44.965446052411465
Q : 1661.168707251546 	 9852.751823711795
y_pred_krig=13.947235442833161	 h=13.9462595	 err(%)=6.997882358070775e-05
y_pred_krig=14.550171233331747	 h=14.520399	 err(%)=0.0020503729499270684
y_pred_krig=14.070994411419727	 h=14.070926	 err(%)=4.861898906109976e-06
y_pred_krig=13.605406650807454	 h=13.578528	 err(%)=0.0019794966588023463
y_pred_krig=9.019670108691168	 h=9.0445595	 err(%)=-0.0027518632951480265
y_pred_krig=10.974262249058137	 h=10.95287	 err(%)=0.0019531181378156057
y_pred_krig=8.209200956829443	 h=8.200362	 err(%)=0.0010778739803734437
y_pred_krig=10.35586424753071	 h=10.356023	 err(%)=-1.5329482108257313e-05
y_pred_krig=13.981329626732444	 h=13.981728	 err(%)=-2.8492420075408118e-05
y_pred_krig=12.795827275513949	 h=12.775548	 err(%)=0.0015873507354790602
y_pred_krig=13.096957163231503	 h=13.100879	 err(%)=-0.0002993567659466292
y_pred_krig=13.921737276425072	 h=13.9199	 err(%)=0.00013198919712579586
y_pred_krig=11.916292091248176	 h=11.889137	 err(%)=0.0022840254299513686
y_pred_krig=13.69162745578283	 h=13.691509	 err(%)=8.651769708558125e-06
y_pred_krig=12.424326799620902	 h=12.469639	 err(%)=-0.0036338020995715357
y_pred_krig=14.400497947855873	 h=14.401869	 err(%)=-9.519959833866974e-05
y_pred_krig=13.672952516678015	 h=13.673487	 err(%)=-3.908902842304492e-05
y_pred_krig=13.75931356678347	 h=13.763097	 err(%)=-0.00027489693755189187
y_pred_krig=14.198561824152819	 h=14.196635	 err(%)=0.0001357240045136108
y_pred_krig=13.994081163532114	 h=13.996074	 err(%)=-0.00014238539092366226
y_pred_krig=14.402207983308038	 h=14.4025545	 err(%)=-2.405939112832423e-05
y_pred_krig=9.192583421564313	 h=9.187382	 err(%)=0.0005661483939944688
y_pred_krig=12.127012375623659	 h=12.1731415	 err(%)=-0.0037894182349183132
y_pred_krig=11.554462063838661	 h=11.488827	 err(%)=0.005712947356476071
y_pred_krig=13.544324287050278	 h=13.533386	 err(%)=0.0008082446662112576
y_pred_krig=8.763576333013694	 h=8.760383	 err(%)=0.0003645197948188338
y_pred_krig=13.639373768240214	 h=13.641116	 err(%)=-0.00012771915140862415
y_pred_krig=12.583680055975845	 h=12.676125	 err(%)=-0.007292839414580974
y_pred_krig=14.468672795957195	 h=14.453227	 err(%)=0.0010686745567059159
y_pred_krig=13.537342349435633	 h=13.538582	 err(%)=-9.156428379034171e-05
y_pred_krig=13.569836716860857	 h=13.568597	 err(%)=9.136662109257778e-05
y_pred_krig=14.710037348067294	 h=14.779418	 err(%)=-0.004694410289546301
y_pred_krig=13.558501371664144	 h=13.558585	 err(%)=-6.167925034676515e-06
y_pred_krig=14.096173154855002	 h=14.095991	 err(%)=1.2922458236691633e-05
y_pred_krig=14.202203226053753	 h=14.203403	 err(%)=-8.447087970729708e-05
y_pred_krig=13.485316519278513	 h=13.4812355	 err(%)=0.00030271849182608994
y_pred_krig=14.289710560879813	 h=14.293535	 err(%)=-0.0002675642603587671
y_pred_krig=14.011668386742814	 h=14.021731	 err(%)=-0.0007176441522938091
